ITEM,CAL,FAT,SFAT,TFAT,CHOL,SALT,CARB,FBR,SGR,PRO,CATEGORY
Bacon Clubhouse Burger 9.4 oz (267 g),720,40,15,1.5,120,1470,52,4,14,38,BURGERSANDWICH
Bacon Clubhouse Grilled Chicken Sandwich 9.9 oz (281 g),610,26,9,0,130,1720,50,4,14,44,BURGERSANDWICH
Bacon Clubhouse Crispy Chicken Sandwich 10 oz (284 g),750,38,10,0.5,90,1720,65,4,16,36,BURGERSANDWICH
McChicken ® 5.1 oz (144 g),370,17,3.5,0,40,650,40,2,5,14,BURGERSANDWICH
Buffalo Ranch McChicken 5.2 oz (148 g),370,17,3.5,0,40,850,41,2,5,14,BURGERSANDWICH
Bacon Buffalo Ranch McChicken 5.7 oz (162 g),440,21,5,0,55,1120,41,2,6,20,BURGERSANDWICH
Bacon Cheddar McChicken 6.1 oz (172 g),490,25,7,0,70,1120,43,2,6,22,BURGERSANDWICH
Southern Style Crispy Chicken Sandwich 5.6 oz (160 g),430,19,3,0,45,910,43,2,7,21,BURGERSANDWICH
Filet-O-Fish 5 oz (142 g),390,19,4,0,40,590,39,2,5,15,BURGERSANDWICH
McRib ® 7.3 oz (208 g),500,26,10,0,70,980,44,3,11,22,BURGERSANDWICH
Premium McWrap Southwest Chicken (Crispy) 11.7 oz (331 g),670,32,8,0.5,60,1470,68,5,12,27,BURGERSANDWICH
Premium McWrap Southwest Chicken (Grilled) 11.6 oz (328 g),530,20,6,0.5,100,1470,54,5,10,34,BURGERSANDWICH
Premium McWrap Chicken & Bacon (Crispy) 11.1 oz (316 g),630,32,9,0.5,80,1540,56,3,7,32,BURGERSANDWICH
Premium McWrap Chicken & Bacon (Grilled) 11.1 oz (313 g),490,19,7,0,115,1540,41,3,6,39,BURGERSANDWICH
Premium McWrap Chicken & Ranch (Crispy) 10.9 oz (310 g),610,31,8,0.5,65,1340,56,3,8,27,BURGERSANDWICH
Premium McWrap Chicken & Ranch (Grilled) 10.9 oz (308 g),460,18,6,0.5,100,1340,42,3,6,34,BURGERSANDWICH
Premium McWrap Chicken Sweet Chili (Crispy) 10.7 oz (304 g),540,23,4.5,0,50,1260,61,3,14,23,BURGERSANDWICH
Premium McWrap Chicken Sweet Chili (Grilled) 10.6 oz (302 g),400,10,3,0,85,1260,47,3,12,31,BURGERSANDWICH
Big Mac 7.4 oz (211 g),530,27,10,1,85,960,47,3,9,24,BURGERSANDWICH
Quarter Pounder® with Cheese 7 oz (199 g),520,26,12,1.5,95,1110,42,3,10,29,BURGERSANDWICH
Quarter Pounder Bacon & Cheese 7.7 oz (217 g),600,29,13,1,105,1380,48,3,12,36,BURGERSANDWICH
Quarter Pounder Deluxe 8.4 oz (238 g),540,27,11,1.5,85,940,45,3,9,28,BURGERSANDWICH
Double Quarter Pounder with Cheese 9.8 oz (277 g),740,42,19,2.5,165,1300,43,3,10,47,BURGERSANDWICH
Hamburger 3.5 oz (98 g),240,8,3,0,30,480,32,1,6,12,BURGERSANDWICH
Cheeseburger 4 oz (113 g),290,11,5,0.5,45,680,33,2,7,15,BURGERSANDWICH
BBQ Ranch Burger 4 oz (113 g),340,15,6,0.5,50,670,37,3,7,15,BURGERSANDWICH
Grilled Onion Cheddar 4 oz (113 g),300,13,6,0.5,45,640,32,2,6,15,BURGERSANDWICH
Double Cheeseburger 5.7 oz (161 g),430,21,10,1,90,1040,35,2,7,24,BURGERSANDWICH
McDouble 5.2 oz (147 g),380,17,8,1,75,840,34,2,7,22,BURGERSANDWICH
Bacon McDouble 5.7 oz (161 g),440,22,10,1,90,1110,35,2,7,27,BURGERSANDWICH
Daily Double 6.7 oz (190 g),430,22,9,1,80,760,34,2,7,22,BURGERSANDWICH
Ranch Snack Wrap® (Crispy) 4.5 oz (128 g),360,20,5,0,40,810,32,1,3,15,BURGERSANDWICH
Ranch Snack Wrap® (Grilled) 4.5 oz (127 g),290,13,4.5,0,55,810,25,1,2,18,BURGERSANDWICH
Mac Snack Wrap 4.4 oz (125 g),330,19,7,1,45,670,26,1,3,14,BURGERSANDWICH
Jalapeño Double 5.6 oz (159 g),430,23,9,1,80,1030,35,2,6,22,BURGERSANDWICH
Quarter Pounder Deluxe 8.9 oz (253 g),580,32,13,1.5,100,1200,45,3,11,29,BURGERSANDWICH
Artisan Grilled Chicken Sandwich 7.2 oz (204 g),360,6,1.5,0,80,930,43,3,11,32,BURGERSANDWICH
Steakhouse Sirloin Third Pound Burger 9.7 oz (276 g),730,36,16,2,135,1560,62,4,10,39,BURGERSANDWICH
Bacon & Cheese Sirloin Third Pound Burger 10.3 oz (292 g),810,41,18,2,155,2060,65,4,13,47,BURGERSANDWICH
Lettuce & Tomato Sirloin Third Pound Burger 10.9 oz (310 g),750,39,16,2,135,1590,62,4,10,39,BURGERSANDWICH
Bacon Clubhouse Grilled Chicken Sandwich 9.9 oz (281 g),610,26,9,0,130,1720,50,4,14,44,CHICKENFISH
Bacon Clubhouse Crispy Chicken Sandwich 10 oz (284 g),750,38,10,0.5,90,1720,65,4,16,36,CHICKENFISH
McChicken ® 5.1 oz (144 g),370,17,3.5,0,40,650,40,2,5,14,CHICKENFISH
Buffalo Ranch McChicken 5.2 oz (148 g),370,17,3.5,0,40,850,41,2,5,14,CHICKENFISH
Bacon Buffalo Ranch McChicken 5.7 oz (162 g),440,21,5,0,55,1120,41,2,6,20,CHICKENFISH
Bacon Cheddar McChicken 6.1 oz (172 g),490,25,7,0,70,1120,43,2,6,22,CHICKENFISH
Southern Style Crispy Chicken Sandwich 5.6 oz (160 g),430,19,3,0,45,910,43,2,7,21,CHICKENFISH
Filet-O-Fish 5 oz (142 g),390,19,4,0,40,590,39,2,5,15,CHICKENFISH
Premium McWrap Southwest Chicken (Crispy) 11.7 oz (331 g),670,32,8,0.5,60,1470,68,5,12,27,CHICKENFISH
Premium McWrap Southwest Chicken (Grilled) 11.6 oz (328 g),530,20,6,0.5,100,1470,54,5,10,34,CHICKENFISH
Premium McWrap Chicken & Bacon (Crispy) 11.1 oz (316 g),630,32,9,0.5,80,1540,56,3,7,32,CHICKENFISH
Premium McWrap Chicken & Bacon (Grilled) 11.1 oz (313 g),490,19,7,0,115,1540,41,3,6,39,CHICKENFISH
Premium McWrap Chicken & Ranch (Crispy) 10.9 oz (310 g),610,31,8,0.5,65,1340,56,3,8,27,CHICKENFISH
Premium McWrap Chicken & Ranch (Grilled) 10.9 oz (308 g),460,18,6,0.5,100,1340,42,3,6,34,CHICKENFISH
Premium McWrap Chicken Sweet Chili (Crispy) 10.7 oz (304 g),540,23,4.5,0,50,1260,61,3,14,23,CHICKENFISH
Premium McWrap Chicken Sweet Chili (Grilled) 10.6 oz (302 g),400,10,3,0,85,1260,47,3,12,31,CHICKENFISH
Chicken McNuggets® (10 piece) 5.7 oz (162 g),470,30,5,0,65,900,30,2,0,22,CHICKENFISH
Ranch Snack Wrap® (Crispy) 4.5 oz (128 g),360,20,5,0,40,810,32,1,3,15,CHICKENFISH
Chicken McNuggets® (20 piece) 11.4 oz (323 g),940,59,10,0,135,1800,59,3,0,44,CHICKENFISH
Chicken McNuggets® (6 piece) 3.4 oz (97 g),280,18,3,0,40,540,18,1,0,13,CHICKENFISH
Chicken McNuggets® (40 piece) 22.8 oz (646 g),1880,118,20,1,265,3600,118,6,1,87,CHICKENFISH
Premium Bacon Ranch Salad with Crispy Chicken 11.3 oz (321 g),400,22,6,0,70,880,24,3,7,26,CHICKENFISH
Ranch Snack Wrap® (Grilled) 4.5 oz (127 g),290,13,4.5,0,55,810,25,1,2,18,CHICKENFISH
Premium Bacon Ranch Salad with Grilled Chicken 11.2 oz (319 g),260,10,4.5,0,110,880,10,3,5,34,CHICKENFISH
Premium Southwest Salad with Crispy Chicken 12.6 oz (357 g),480,24,6,0,60,910,43,7,12,25,CHICKENFISH
Premium Southwest Salad with Grilled Chicken 12.5 oz (354 g),340,11,4,0,95,910,28,7,10,32,CHICKENFISH
Chicken McNuggets® (4 piece) 2.3 oz (65 g),190,12,2,0,25,360,12,1,0,9,CHICKENFISH
Premium Crispy Chicken Deluxe Sandwich 8 oz (227 g),530,22,4,0,45,1000,59,3,13,25,CHICKENFISH
Premium Grilled Chicken Deluxe Sandwich 7.9 oz (224 g),390,9,2.5,0,85,1000,45,3,11,32,CHICKENFISH
Chicken Selects (3 pc) 4.4 oz (124 g),370,22,3,0,70,680,20,1,0,23,CHICKENFISH
Artisan Grilled Chicken Sandwich 7.2 oz (204 g),360,6,1.5,0,80,930,43,3,11,32,CHICKENFISH
Fruit 'n Yogurt Parfait 5.2 oz (149 g),150,2,1,0,5,80,30,1,23,4,BREAKFAST
"Steak, Egg & Cheese Bagel 8.5 oz (241 g)",670,35,13,1.5,295,1510,56,3,7,33,BREAKFAST
Steak & Egg Biscuit (Regular Biscuit) 7.1 oz (201 g),540,32,16,1,280,1470,38,2,3,25,BREAKFAST
Sausage McMuffin® with Egg 5.7 oz (161 g),450,28,10,0,285,860,30,4,2,21,BREAKFAST
Hotcakes and Sausage 6.8 oz (192 g),520,24,7,0,50,930,61,3,14,15,BREAKFAST
Southern Style Chicken Biscuit (Regular Size Biscuit) 5 oz (143 g),410,20,8,0,30,1180,41,2,3,17,BREAKFAST
Sausage Burrito 3.9 oz (111 g),300,16,7,0,115,790,26,1,2,12,BREAKFAST
Fruit & Maple Oatmeal 8.9 oz (251 g),290,4,1.5,0,5,160,58,5,32,5,BREAKFAST
Egg McMuffin® 4.8 oz (136 g),300,13,5,0,260,750,31,4,3,17,BREAKFAST
"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit) 5.3 oz (150 g)",460,26,13,0,250,1300,38,2,3,19,BREAKFAST
Sausage Biscuit (Regular Size Biscuit) 4.1 oz (117 g),430,27,12,0,30,1080,34,2,2,11,BREAKFAST
Sausage Biscuit with Egg (Regular Size Biscuit) 5.7 oz (163 g),510,33,14,0,250,1170,36,2,2,18,BREAKFAST
"Bacon, Egg & Cheese McGriddles 6.1 oz (174 g)",460,21,9,0,250,1250,48,2,15,19,BREAKFAST
Sausage McGriddles® 5 oz (141 g),420,22,8,0,35,1030,44,2,15,11,BREAKFAST
"Sausage, Egg & Cheese McGriddles® 7.1 oz (201 g)",550,31,12,0,265,1320,48,2,15,20,BREAKFAST
"Bacon, Egg & Cheese Bagel with Egg Whites 6.8 oz (194 g)",530,23,8,0.5,50,1340,55,3,7,27,BREAKFAST
Big Breakfast® (Regular Size Biscuit) 9.5 oz (269 g),740,48,17,0,555,1560,51,3,3,28,BREAKFAST
Big Breakfast with Hotcakes (Regular Size Biscuit) 14.8 oz (420 g),1090,56,19,0,575,2150,111,6,17,36,BREAKFAST
Cinnamon Melts 4 oz (114 g),460,19,9,0,15,370,66,3,32,6,BREAKFAST
Hotcakes 5.3 oz (151 g),350,9,2,0,20,590,60,3,14,8,BREAKFAST
Egg White Delight 4.8 oz (135 g),250,8,3,0,25,770,30,4,3,18,BREAKFAST
HASH BROWNS 2 oz (56 g),150,9,1.5,0,0,310,15,2,0,1,BREAKFAST
"Bacon, Egg & Cheese Biscuit (Large Size Biscuit) 5.8 oz (164 g)",520,30,14,0,250,1410,43,3,4,19,BREAKFAST
Big Breakfast with Hotcakes (Large Size Biscuit) 15.3 oz (434 g),1150,60,20,0,575,2260,116,7,17,36,BREAKFAST
Big Breakfast® (Large Size Biscuit) 10 oz (283 g),800,52,18,0,555,1680,56,4,3,28,BREAKFAST
Sausage Biscuit (Large Size Biscuit) 4.6 oz (131 g),480,31,13,0,30,1190,39,3,3,11,BREAKFAST
Sausage Biscuit with Egg (Large Size Biscuit) 6.2 oz (177 g),570,37,15,0,250,1280,42,3,3,18,BREAKFAST
Southern Style Chicken Biscuit (Large Size Biscuit) 5.5 oz (157 g),470,24,9,0,30,1290,46,3,4,17,BREAKFAST
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit) 5.9 oz (167 g)",470,25,12,0,35,1420,42,3,4,20,BREAKFAST
Sausage McMuffin with Egg Whites 5.7 oz (161 g),400,23,8,0,50,880,30,4,2,21,BREAKFAST
"Bacon, Egg & Cheese McGriddles with Egg Whites 6.3 oz (178 g)",400,15,7,0,35,1250,47,2,16,20,BREAKFAST
"Bacon, Egg & Cheese Biscuit with Egg Whites (RegularBiscuit) 5.4 oz (153 g)",410,20,11,0,35,1300,36,2,3,20,BREAKFAST
Big Breakfast with Egg Whites (Large Size Biscuit) 10.1 oz (286 g),690,41,14,0,35,1700,55,4,4,26,BREAKFAST
Big Breakfast with Egg Whites (Regular Size Biscuit) 9.6 oz (272 g),640,37,14,0,35,1590,50,3,3,26,BREAKFAST
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit) 15.4 oz (437 g),1050,50,16,0,55,2290,115,7,18,35,BREAKFAST
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit) 14.9 oz (423 g),990,46,16,0,55,2170,110,6,17,35,BREAKFAST
Fruit & Maple Oatmeal 8.9 oz (251 g),290,4,1.5,0,5,160,58,5,32,5,BREAKFAST
Fruit & Maple Oatmeal without Brown Sugar 8.8 oz (250 g),260,4,1.5,0,5,115,49,5,18,5,BREAKFAST
Sausage Biscuit with Egg Whites (Large Size Biscuit) 6.4 oz (181 g),520,32,13,0,35,1290,40,3,3,18,BREAKFAST
Sausage Biscuit with Egg Whites (Regular Size Biscuit) 5.9 oz (167 g),460,27,12,0,35,1180,34,2,3,18,BREAKFAST
"Sausage, Egg & Cheese McGriddles with Egg Whites 7.2 oz (205 g)",500,26,10,0,50,1320,46,2,15,21,BREAKFAST
"Bacon, Egg & Cheese Bagel 6.7 oz (190 g)",590,29,10,0.5,265,1340,56,3,7,27,BREAKFAST
Steak & Egg McMuffin 6.5 oz (185 g),430,23,9,1,300,960,31,4,3,26,BREAKFAST
Sausage McMuffin® 3.9 oz (111 g),370,23,8,0,45,780,29,4,2,14,BREAKFAST
Side Salad 3.1 oz (87 g),20,0,0,0,0,10,4,1,2,1,SALAD
Premium Bacon Ranch Salad (without chicken) 7.9 oz (225 g),150,8,4,0,30,320,10,3,4,10,SALAD
Premium Southwest Salad (without chicken) 8.4 oz (239 g),170,7,3,0,15,210,20,6,6,8,SALAD
Premium Bacon Ranch Salad with Crispy Chicken 11.3 oz (321 g),400,22,6,0,70,880,24,3,7,26,SALAD
Premium Bacon Ranch Salad with Grilled Chicken 11.2 oz (319 g),260,10,4.5,0,110,880,10,3,5,34,SALAD
Premium Southwest Salad with Crispy Chicken 12.6 oz (357 g),480,24,6,0,60,910,43,7,12,25,SALAD
Premium Southwest Salad with Grilled Chicken 12.5 oz (354 g),340,11,4,0,95,910,28,7,10,32,SALAD
Fruit 'n Yogurt Parfait 5.2 oz (149 g),150,2,1,0,5,80,30,1,23,4,SNACK
Small French Fries 2.6 oz (75 g),230,11,1.5,0,0,130,30,2,0,2,SNACKSIDE
Apple Slices 1.2 oz (34 g),15,0,0,0,0,0,4,0,3,0,SNACKSIDE
Side Salad 3.1 oz (87 g),20,0,0,0,0,10,4,1,2,1,SNACKSIDE
Large French Fries 5.9 oz (168 g),510,24,3.5,0,0,290,67,5,0,6,SNACKSIDE
Medium French Fries 3.9 oz (111 g),340,16,2.5,0,0,190,44,4,0,4,SNACKSIDE
Kids Fries 1.3 oz (38 g),110,5,1,0,0,65,15,1,0,1,SNACKSIDE
Ranch Snack Wrap® (Crispy) 4.5 oz (128 g),360,20,5,0,40,810,32,1,3,15,SNACKSIDE
Ranch Snack Wrap® (Grilled) 4.5 oz (127 g),290,13,4.5,0,55,810,25,1,2,18,SNACKSIDE
Mac Snack Wrap 4.4 oz (125 g),330,19,7,1,45,670,26,1,3,14,SNACKSIDE
Strawberry Gogurt 2.3 oz (64 g),50,0.5,0,0,5,35,9,0,6,2,SNACKSIDE
Cuties 3 oz (85 g),40,0,0,0,0,0,10,1,8,1,SNACKSIDE
McCafé Mocha (Small) 12 fl oz cup,340,11,7,0,35,150,49,2,42,10,BEVERAGE
Coffee (Small) 12 fl oz cup,0,0,0,0,0,0,0,0,0,0,BEVERAGE
Chocolate McCafé Shake (Small) 12 fl oz,560,16,10,1,60,240,91,1,77,12,BEVERAGE
Vanilla McCafé Shake (Small) 12 fl oz,530,15,10,1,60,160,86,0,63,11,BEVERAGE
Strawberry McCafé Shake (Small) 12 fl oz,550,16,10,1,60,160,90,0,79,12,BEVERAGE
Coffee (Large) 20 fl oz cup,0,0,0,0,0,0,0,0,0,0,BEVERAGE
Premium Roast Iced Coffee (Small) 16 fl oz cup,140,4.5,3,0,15,35,23,0,22,1,BEVERAGE
McCafé Caramel Mocha (Small) 12 fl oz cup,320,11,7,0,35,170,45,1,40,10,BEVERAGE
Frappe Mocha (Small) 12 fl oz cup,440,18,11,1,60,125,64,1,57,7,BEVERAGE
Frappe Caramel (Small) 12 fl oz cup,440,18,12,1,65,125,63,0,57,7,BEVERAGE
Frappe Chocolate Chip (Small) 12 fl oz cup,520,22,14,1,65,130,75,1,66,8,BEVERAGE
Blueberry Pomegranate Smoothie (Small) 12 fl oz cup,220,0.5,0,0,5,40,50,3,44,2,BEVERAGE
Strawberry Banana Smoothie (Small) 12 fl oz cup,210,0.5,0,0,5,50,47,3,44,3,BEVERAGE
Mango Pineapple Smoothie (Small) 12 fl oz cup,210,0.5,0,0,5,40,50,1,46,2,BEVERAGE
McCafé Hot Chocolate (Small) 12 fl oz cup,360,13,8,0,40,180,50,1,45,11,BEVERAGE
Minute Maid® 100% Apple Juice Box 6 fl oz (177 ml),80,0,0,0,0,15,21,0,19,0,BEVERAGE
McCafé Latte (Small) 12 fl oz cup,170,9,5,0,25,115,15,1,12,9,BEVERAGE
Shamrock McCafe® Shake (Small) 12 fl oz cup,530,15,10,1,60,160,86,0,73,11,BEVERAGE
McCafé Iced Mocha (Small) 12 fl oz cup,290,11,6,0,35,125,40,1,34,8,BEVERAGE
McCafé Iced Caramel Mocha (Small) 12 fl oz cup,270,11,6,0,35,140,37,0,32,8,BEVERAGE
McCafé White Chocolate Mocha (Small) 12 fl oz cup,320,11,6,0,35,160,47,1,43,11,BEVERAGE
Coffee (Medium) 16 fl oz cup,0,0,0,0,0,0,0,0,0,0,BEVERAGE
Iced Coffee with Sugar Free French Vanilla Syrup (Large) 32 fl oz cup,160,9,6,0,35,135,18,0,2,2,BEVERAGE
Iced Coffee with Sugar Free French Vanilla Syrup (Medium) 22 fl oz cup,120,7,4.5,0,25,90,12,0,2,1,BEVERAGE
Iced Coffee with Sugar Free French Vanilla Syrup (Small) 16 fl oz cup,80,4.5,3,0,15,65,9,0,1,1,BEVERAGE
Iced Coffee Caramel (Large) 32 fl oz cup,260,9,6,0,35,65,43,0,42,2,BEVERAGE
Iced Coffee Caramel (Medium) 22 fl oz cup,180,7,4.5,0,25,50,29,0,28,1,BEVERAGE
Iced Coffee Caramel (Small) (16 fl oz cup),130,4.5,3,0,15,35,22,0,21,1,BEVERAGE
Iced Coffee French Vanilla (Large) 32 fl oz cup,240,9,6,0,35,80,41,0,39,2,BEVERAGE
Iced Coffee French Vanilla (Medium) 22 fl oz cup,170,7,4.5,0,25,55,27,0,26,1,BEVERAGE
Iced Coffee French Vanilla (Small) 16 fl oz cup,120,4.5,3,0,15,40,20,0,19,1,BEVERAGE
Iced Coffee Hazelnut (Large) (32 fl oz cup),250,9,6,0,35,75,43,0,41,2,BEVERAGE
Iced Coffee Hazelnut (Medium) 22 fl oz cup,180,7,4.5,0,25,50,29,0,28,1,BEVERAGE
Iced Coffee Hazelnut (Small) (16 fl oz cup),130,4.5,3,0,15,35,21,0,20,1,BEVERAGE
Iced Coffee Regular (Large) (32 fl oz cup),270,9,6,0,35,75,47,0,45,2,BEVERAGE
Iced Coffee Regular (Medium) 22 fl oz cup,190,7,4.5,0,25,50,31,0,30,1,BEVERAGE
Iced Coffee Regular (Small) (16 fl oz cup),140,4.5,3,0,15,35,23,0,22,1,BEVERAGE
Premium Roast Iced Coffee (Large) 32 fl oz cup,270,9,6,0,35,75,47,0,45,2,BEVERAGE
Premium Roast Iced Coffee (Medium) 22 fl oz cup,190,7,4.5,0,25,50,31,0,30,1,BEVERAGE
Fat Free Chocolate Milk Jug 1 carton (236 ml),130,0,0,0,5,135,23,1,22,9,BEVERAGE
Minute Maid® Orange Juice (Small) 12 fl oz cup,150,0,0,0,0,0,34,0,30,2,BEVERAGE
Dasani® Water 16.9 fl oz,0,0,0,0,0,0,0,0,0,0,BEVERAGE
One-Percent Low Fat Milk Jug 1 carton (236 ml),100,2.5,1.5,0,10,125,12,0,12,8,BEVERAGE
Coca-Cola® Classic (Small) 16 fl oz cup,140,0,0,0,0,0,39,0,39,0,BEVERAGE
Diet Coke® (Small) 16 fl oz cup,0,0,0,0,0,10,0,0,0,0,BEVERAGE
Dr Pepper® (Small) 16 fl oz cup,140,0,0,0,0,45,37,0,35,0,BEVERAGE
Diet Dr Pepper® (Small) 16 fl oz cup,0,0,0,0,0,70,0,0,0,2,BEVERAGE
Sprite® (Small) 16 fl oz cup,140,0,0,0,0,30,37,0,37,0,BEVERAGE
Hi-C® Orange Lavaburst (Small) 16 fl oz cup,160,0,0,0,0,0,43,0,42,0,BEVERAGE
Iced Tea (Small) (16 fl oz cup),0,0,0,0,0,10,0,0,0,0,BEVERAGE
Sweet Tea (Small) 16 fl oz cup,150,0,0,0,0,10,36,0,36,1,BEVERAGE
Minute Maid® Orange Juice (Medium) 16 fl oz cup,190,0,0,0,0,0,44,0,39,3,BEVERAGE
POWERade® Mountain Blast (Small) 16 fl oz cup,80,0,0,0,0,75,21,0,21,0,BEVERAGE
Sweet Tea (Medium) 21 fl oz cup,180,0,0,0,0,10,45,0,45,1,BEVERAGE
Coca-Cola® Classic (Extra Small) 12 fl oz cup,100,0,0,0,0,0,28,0,28,0,BEVERAGE
Coca-Cola® Classic (Large) 30 fl oz cup,280,0,0,0,0,5,76,0,76,0,BEVERAGE
Coca-Cola® Classic (Medium) 21 fl oz cup,200,0,0,0,0,5,55,0,55,0,BEVERAGE
Diet Coke® (Extra Small) 12 fl oz cup,0,0,0,0,0,15,0,0,0,0,BEVERAGE
Diet Coke® (Large) 30 fl oz cup,0,0,0,0,0,35,0,0,0,0,BEVERAGE
Diet Coke® (Medium) 21 fl oz cup,0,0,0,0,0,20,0,0,0,0,BEVERAGE
Diet Dr Pepper® (Extra Small) 12 fl oz cup,0,0,0,0,0,50,0,0,0,1,BEVERAGE
Diet Dr Pepper® (Large) 30 fl oz cup,0,0,0,0,0,140,0,0,0,4,BEVERAGE
Diet Dr Pepper® (Medium) 21 fl oz cup (- {}),0,0,0,0,0,100,0,0,0,3,BEVERAGE
Dr Pepper® (Extra Small) 12 fl oz cup,100,0,0,0,0,30,27,0,26,0,BEVERAGE
